2019-09-27 00:51:43,832 - sxvrs_daemon [INFO]: 	 ! Script started: "sxvrs_daemon" 
2019-09-27 00:51:44,835 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:45,838 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:46,841 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:47,844 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:48,847 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:49,849 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:50,851 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:51,854 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:52,857 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:53,860 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:54,863 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:55,866 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:56,869 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:57,872 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:58,875 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:51:59,878 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:00,881 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:01,883 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:02,886 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:03,889 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:04,892 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:05,895 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:06,898 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:07,901 - sxvrs_daemon [INFO]: 	 # Script terminated
2019-09-27 00:52:57,917 - sxvrs_daemon [INFO]: 	 ! Script started: "sxvrs_daemon" 
2019-09-27 00:58:37,497 - sxvrs_daemon [INFO]: 	 ! Script started: "sxvrs_daemon" Press [CTRL+C] to exit
